ResponseId,MainBranch,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,Country,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysProfessional use,OpSysPersonal use,VersionControlSystem,VCInteraction,VCHostingPersonal use,VCHostingProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,Blockchain,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Onboarding,ProfessionalTech,TrueFalse_1,TrueFalse_2,TrueFalse_3,SurveyLength,SurveyEase,ConvertedCompYearly
11,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Video-based Online Courses;How-to videos;Written-based Online Courses,,5,2,"Developer, full-stack;Developer, back-end",100 to 499 employees,I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,United Kingdom of Great Britain and Northern Ireland,GBP	Pound sterling,48000.0,Yearly,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;SQL,C#;Go;JavaScript,Microsoft SQL Server,Microsoft SQL Server,AWS;Microsoft Azure,Microsoft Azure,ASP.NET;ASP.NET Core ;Vue.js,ASP.NET;ASP.NET Core ;Blazor,.NET,,Docker;npm;Terraform,Docker;Terraform,Rider;Visual Studio;Visual Studio Code,Rider;Visual Studio Code,Windows;Windows Subsystem for Linux (WSL),Linux-based,Git,Code editor;Command-line,,,Confluence,,Google Chat;Microsoft Teams;Slack;Zoom,Google Chat;Slack,Unfavorable,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"No, not really",18-24 years old,Man,No,Straight / Heterosexual,European,None of the above,None of the above,No,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,60307.0
12,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time;Independent contractor, freelancer, or self-employed",Fully remote,Hobby;Contribute to open-source projects;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum)","Technical documentation;Blogs;Written Tutorials;Video-based Online Courses;How-to videos;Written-based Online Courses;Auditory material (e.g., podcasts);Interactive tutorial",,12,10,Engineering manager,20 to 99 employees,I have some influence,Start a free trial;Ask developers I know/work with,United States of America,USD	United States dollar,194400.0,Yearly,C#;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL,C++;Go;HTML/CSS;JavaScript;Lua;Rust;TypeScript,Couchbase;CouchDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis,Elasticsearch;MongoDB;Redis;SQLite,AWS;Microsoft Azure,AWS;DigitalOcean;Firebase;Linode,ASP.NET;ASP.NET Core ;Express;Node.js;Vue.js,ASP.NET Core ;Node.js;Nuxt.js;React.js;Vue.js,.NET;Keras;NumPy;Pandas;Scikit-learn;TensorFlow;Torch/PyTorch;Hugging Face Transformers,Keras;NumPy;Pandas;Scikit-learn;TensorFlow;Torch/PyTorch;Hugging Face Transformers,Docker;Homebrew;Kubernetes,Docker;Homebrew;Kubernetes;Pulumi;Terraform,IPython/Jupyter;Neovim;Visual Studio;Visual Studio Code,IPython/Jupyter;Neovim;Visual Studio Code,Linux-based;macOS;Windows,Linux-based;macOS,Git,Code editor;Dedicated version control GUI application,,,Confluence;Jira Work Management;Notion;Trello,Notion;Trello,Cisco Webex Teams;Google Chat;Microsoft Teams;RingCentral;Slack;Zoom,Slack,Unfavorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",Yes,People manager,14.0,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Agree,10+ times a week,10+ times a week,3-5 times a week,30-60 minutes a day,60-120 minutes a day,Just right,Innersource initiative;DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery;Automated testing;Observability tools,Yes,Yes,No,Too short,Easy,194400.0
13,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","School (i.e., University, College, etc)",,,12,5,"Developer, full-stack",2 to 9 employees,I have a great deal of influence,Visit developer communities like Stack Overflow,United States of America,USD	United States dollar,65000.0,Yearly,C;HTML/CSS;Rust;SQL;Swift;TypeScript,Haskell;HTML/CSS;Rust;Swift,PostgreSQL,Elasticsearch;Redis,AWS,AWS,React.js,React.js,Torch/PyTorch,Torch/PyTorch,Docker,Docker,Vim;Visual Studio,Vim;Visual Studio,macOS,Linux-based,Git,Code editor;Command-line,,,Jira Work Management;Trello,Jira Work Management;Trello,Microsoft Teams;Slack;Zoom,Microsoft Teams;Slack,Favorable,Stack Overflow;Stack Exchange,Daily or almost daily,Not sure/can't remember,,Neutral,25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Yes,Independent contributor,5.0,Neither agree nor disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Never,Never,Never,30-60 minutes a day,Less than 15 minutes a day,Somewhat short,DevOps function;Microservices,Yes,No,Yes,Appropriate in length,Easy,65000.0
14,I am a developer by profession,"Employed, part-time",Fully remote,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;School (i.e., University, College, etc)",,,22,15,"Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator",20 to 99 employees,I have some influence,Start a free trial;Ask developers I know/work with,Australia,AUD	Australian dollar,,,Elixir;Erlang;HTML/CSS;JavaScript;Ruby;SQL;TypeScript,Elixir;Erlang;HTML/CSS;JavaScript;Ruby;SQL;TypeScript,DynamoDB;PostgreSQL,PostgreSQL,AWS;Heroku,,jQuery;Next.js;Node.js;Phoenix;React.js;Ruby on Rails,Phoenix;React.js;Ruby on Rails;Svelte,,,Docker;Homebrew;npm;Yarn,Docker;Yarn,Visual Studio Code,Visual Studio Code,macOS,macOS,Git,Command-line,,,Airtable;Confluence;Jira Work Management;Notion;Trello,Notion,Microsoft Teams;Slack;Zoom,Slack;Zoom,Very unfavorable,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Daily or almost daily,"Yes, definitely",35-44 years old,Woman,No,Straight / Heterosexual,White,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have an anxiety disorder",Yes,Independent contributor,15.0,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,1-2 times a week,10+ times a week,1-2 times a week,60-120 minutes a day,30-60 minutes a day,Very short,Continuous integration (CI) and (more often) continuous delivery;Automated testing,No,No,No,Too short,Easy,
15,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",Fully remote,Hobby;Freelance/contract work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training",Written Tutorials;Stack Overflow;Video-based Online Courses;How-to videos;Coding sessions (live or recorded),,11,5,"Developer, full-stack;Academic researcher;DevOps specialist","5,000 to 9,999 employees",I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,United States of America,USD	United States dollar,110000.0,Yearly,HTML/CSS;JavaScript;PHP;Python;R;Ruby;Scala,HTML/CSS;JavaScript;Python;Scala,Elasticsearch;MongoDB;Neo4j;PostgreSQL,Elasticsearch;MongoDB;Neo4j;PostgreSQL,AWS;DigitalOcean;Heroku,AWS,Django;Flask;jQuery;Node.js;Ruby on Rails;Vue.js,Django;FastAPI;React.js;Vue.js,Apache Kafka;Apache Spark;NumPy;Pandas;Tidyverse,Pandas,Docker;npm;Yarn,Docker;npm;Yarn,IPython/Jupyter;Nano;RStudio;Visual Studio Code,Visual Studio Code,macOS,macOS,Git,Code editor;Command-line;Version control hosting service web GUI;Dedicated version control GUI application,,,Asana;Jira Work Management;Trello,Asana;Jira Work Management;Trello,Microsoft Teams;Slack;Zoom,Slack;Zoom,Indifferent,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Yes,Independent contributor,5.0,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,1-2 times a week,3-5 times a week,1-2 times a week,30-60 minutes a day,30-60 minutes a day,Somewhat long,DevOps function;Continuous integration (CI) and (more often) continuous delivery;Automated testing,No,Yes,Yes,Appropriate in length,Easy,110000.0
16,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Fully remote,Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Books / Physical media,,,4,4,"Developer, full-stack","Just me - I am a freelancer, sole proprietor, etc.",I have a great deal of influence,Start a free trial,Russian Federation,RUB	Russian ruble,,Weekly,Bash/Shell;HTML/CSS;JavaScript;SQL;TypeScript,Bash/Shell;HTML/CSS;SQL;TypeScript,Cloud Firestore;Microsoft SQL Server;MongoDB;MySQL;Firebase Realtime Database;SQLite,Cloud Firestore;Microsoft SQL Server;MongoDB;MySQL;Firebase Realtime Database;SQLite,AWS;Firebase;Google Cloud;Heroku,AWS;Firebase;Google Cloud;Heroku,Express;jQuery;Node.js;Vue.js,Express;Node.js;Vue.js,,,npm,npm,Notepad++;Visual Studio Code,Visual Studio Code,Windows,Windows,Git,Code editor;Command-line,,,Trello,Trello,,,Unfavorable,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,"Yes, definitely",25-34 years old,Man,No,Straight / Heterosexual,,None of the above,,,,,,,,,,,,,,,,,,,,,,,Neither easy nor difficult,
17,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification;Colleague",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online forum;How-to videos;Written-based Online Courses;Coding sessions (live or recorded),Udemy;Codecademy,7,4,"Developer, full-stack",2 to 9 employees,I have some influence,Start a free trial;Research companies that have advertised on sites I visit,Czech Republic,CZK	Czech koruna,37000.0,Monthly,C#;Java;PHP;Python;R,JavaScript;Kotlin;PowerShell;SQL;TypeScript;VBA,Elasticsearch;MySQL,MariaDB;MongoDB;MySQL;PostgreSQL,Google Cloud;VMware,AWS,Angular;Laravel;Node.js;React.js;Vue.js,Angular;Next.js;Node.js;Nuxt.js;React.js;Symfony;Vue.js,Electron;React Native,Electron,Docker;npm,Docker;npm,IntelliJ;Notepad++;Visual Studio Code,IntelliJ;Notepad++,Windows,Windows,Git,Command-line;Dedicated version control GUI application,,,Jira Work Management;Trello,Jira Work Management,Microsoft Teams;Slack,Microsoft Teams;Slack,Unfavorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,Neutral,25-34 years old,Man,No,Bisexual,European,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",No,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,19224.0
18,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification",Technical documentation;Written Tutorials;Stack Overflow;Video-based Online Courses;How-to videos,Coursera;Pluralsight,13,10,"Engineer, data","1,000 to 4,999 employees",I have some influence,Start a free trial;Ask developers I know/work with,Austria,EUR European Euro,190000.0,Yearly,Python;SQL,Python;SQL,Cassandra;PostgreSQL,Cassandra;PostgreSQL,AWS;Google Cloud,AWS;Google Cloud,,,,,Docker;Homebrew;Kubernetes,Docker;Homebrew;Kubernetes;Terraform,Visual Studio Code,PyCharm;Visual Studio Code,macOS,Windows;Windows Subsystem for Linux (WSL),Git,Command-line,,,,,Slack;Zoom,Slack;Zoom,Indifferent,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, definitely",25-34 years old,Woman,No,Straight / Heterosexual,European,None of the above,None of the above,No,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,202623.0
19,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Books / Physical media;School (i.e., University, College, etc);Online Courses or Certification;Coding Bootcamp",,,36,22,"Developer, back-end;Developer, desktop or enterprise applications",100 to 499 employees,I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,Austria,EUR European Euro,4000.0,Monthly,C#;PowerShell;SQL,C#;F#;PowerShell;SQL,Microsoft SQL Server,Microsoft SQL Server,,,,,.NET,.NET,,,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Windows,Windows,Mercurial;SVN,Code editor;Command-line;Dedicated version control GUI application,,,,,Microsoft Teams;Zoom,Microsoft Teams,Unsure,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Daily or almost daily,"Yes, definitely",45-54 years old,Man,No,Straight / Heterosexual,White;European,None of the above,None of the above,No,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,51192.0
20,I am learning to code,"Student, full-time",,,Some college/university study without earning a degree,Books / Physical media;Coding Bootcamp;Colleague,,,2,,,,,Visit developer communities like Stack Overflow;Ask developers I know/work with,Serbia,,,,C++;HTML/CSS;Java;JavaScript;Python,HTML/CSS;Python;SQL,MySQL,MySQL,,,,,Keras;NumPy;Pandas;Scikit-learn;Spring;TensorFlow,Keras;NumPy;Pandas;Scikit-learn;TensorFlow,,,IntelliJ;Visual Studio Code,Visual Studio Code,Linux-based;Windows,Linux-based;Windows,Git,Code editor;Command-line,,,,,,,Indifferent,Stack Overflow,Daily or almost daily,No,,"No, not really",18-24 years old,Man,No,,White,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
21,I am a developer by profession,"Student, part-time;Employed, part-time","Hybrid (some remote, some in-person)",Hobby,Some college/university study without earning a degree,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training",Technical documentation;Blogs;Stack Overflow;Video-based Online Courses;Online forum;How-to videos;Written-based Online Courses,,1,,Student,,,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,Austria,,,,Bash/Shell;C#;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,Bash/Shell;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,MariaDB,MariaDB,Firebase,,Node.js,Node.js,,,Docker;npm,npm,Eclipse;IntelliJ;Notepad++;Vim;Visual Studio;Visual Studio Code,IntelliJ;Notepad++;Visual Studio Code,Linux-based;macOS,Windows,Git,Code editor;Command-line,,,Notion,Notion,Microsoft Teams,Microsoft Teams,Very unfavorable,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",25-34 years old,Man,No,Bisexual;Straight / Heterosexual,White;European,I am deaf / hard of hearing,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
